name,translatedname
crossed_legs,双腿交叉
frilled_skirt,荷叶边裙
grass,草地
demon_horns,恶魔角
crying,哭泣
sharp_teeth,尖牙
tank_top,背心
sleeping,睡觉
cover,封面
single_hair_bun,单发髻
cloudy_sky,多云天空
blazer,西装外套
suspenders,吊带
high_ponytail,高马尾
helmet,头盔
suit,西装
feathers,羽毛
3boys,3个男孩
cum_on_body,射在身上
bottle,瓶子
stuffed_animal,毛绒动物
x_hair_ornament,X形发饰
underwear_only,仅穿内衣
bdsm,BDSM
fox_girl,狐娘
plant,植物
black_background,黑色背景
blue_ribbon,蓝色缎带
frilled_sleeves,荷叶边袖
grabbing_another's_breast,抓别人胸部
portrait,肖像
antenna_hair,触角发
looking_up,抬头看
light_smile,浅笑
bara,筋肉男
school_swimsuit,学校泳装
straddling,跨坐
cross,十字架
hat_ribbon,帽缎带
fire,火
bug,虫
denim,牛仔布
crown,王冠
knee_boots,及膝靴
pink_bow,粉色蝴蝶结
;d,眨眼笑表情
red_necktie,红色领带
lifted_by_self,自己抬起
outstretched_arms,双臂伸出
fellatio,口交
tiara,头冠
katana,武士刀
couple,情侣
breasts_out,胸部外
aged_down,幼化
red_flower,红色花
on_stomach,趴着
crossover,联动
juliet_sleeves,朱丽叶袖
robot,机器人
curtains,窗帘
motion_lines,速度线
spiked_hair,刺猬头
sisters,姐妹
sex_from_behind,背后性爱
girl_on_top,女上位
polka_dot,波点
>_<,闭眼用力表情
black_nails,黑色指甲
knife,刀
bat_wings,蝙蝠翼
ear_piercing,耳洞
outstretched_arm,伸出手臂
?,问号
slit_pupils,竖瞳
wing_collar,翼领
bent_over,弯腰
pointing,指向
lingerie,情趣内衣
animal_print,动物纹
clenched_teeth,咬牙
bright_pupils,明亮瞳孔
red_shirt,红色衬衫
elf,精灵
5girls,5个女孩
undressing,脱衣
striped_thighhighs,条纹过膝袜
blue_sailor_collar,蓝色水手领
monster_girl,魔物娘
rabbit_tail,兔尾
sneakers,运动鞋
black_leotard,黑色连体衣
hand_on_own_chest,手放自己胸前
white_border,白色边框
t-shirt,T恤
tassel,流苏
holding_gun,手持枪
head_wings,头部翅膀
all_fours,四肢着地
gem,宝石
yaoi,耽美
red_footwear,红色鞋
white_apron,白色围裙
tan,晒黑
bondage,捆绑
red_bowtie,红色领结
furry,兽人
hair_bobbles,发球饰品
short_twintails,短双马尾
messy_hair,凌乱发
lipstick,口红
green_skirt,绿色裙
goggles,护目镜
shoulder_armor,肩甲
holding_cup,手持杯子
brooch,胸针
building,建筑
group_sex,多人性行为
polearm,长柄武器
black_bra,黑色胸罩
horse_tail,马尾
otoko_no_ko,伪娘
fishnets,渔网袜
staff,法杖
shaded_face,阴影遮脸
1other,1个其他角色
letterboxed,宽银幕黑边
loafers,乐福鞋
crescent,新月
towel,毛巾
straight_hair,直发
star_(sky),星空
cherry_blossoms,专有标签: cherry blossoms
single_thighhigh,专有标签: single thighhigh
kiss,亲吻
feathered_wings,羽翼
clenched_hand,专有标签: clenched hand
bandaid,专有标签: bandaid
pink_dress,粉色连衣裙
^^^,专有标签: ^^^
strapless_leotard,专有标签: strapless leotard
box,专有标签: box
hat_bow,帽蝴蝶结
wind,专有标签: wind
facing_viewer,专有标签: facing viewer
grey_shirt,灰色衬衫
black_necktie,专有标签: black necktie
multiple_tails,专有标签: multiple tails
drooling,流口水
no_pants,无裤
extra_ears,专有标签: extra ears
eyewear_on_head,专有标签: eyewear on head
demon_tail,恶魔尾
steam,专有标签: steam
bike_shorts,专有标签: bike shorts
yellow_background,专有标签: yellow background
dog_ears,狗耳
hooded_jacket,专有标签: hooded jacket
armband,专有标签: armband
instrument,专有标签: instrument
casual,专有标签: casual
butterfly,专有标签: butterfly
surprised,惊讶
night_sky,专有标签: night sky
panty_pull,专有标签: panty pull
foreshortening,专有标签: foreshortening
sex_toy,专有标签: sex toy
pale_skin,专有标签: pale skin
child,专有标签: child
breast_press,专有标签: breast press
revealing_clothes,专有标签: revealing clothes
anal,肛交
red_headwear,专有标签: red headwear
gauntlets,专有标签: gauntlets
white_ribbon,白色缎带
rope,绳子
sheath,专有标签: sheath
china_dress,专有标签: china dress
ribbon_trim,专有标签: ribbon trim
pink_panties,粉色内裤
adapted_costume,专有标签: adapted costume
knees_up,屈膝
multicolored_clothes,专有标签: multicolored clothes
cover_page,专有标签: cover page
candy,专有标签: candy
wristband,专有标签: wristband
between_breasts,之间胸部
red_background,专有标签: red background
couch,专有标签: couch
hakama,专有标签: hakama
blouse,专有标签: blouse
wet_clothes,专有标签: wet clothes
musical_note,专有标签: musical note
colored_inner_hair,专有标签: colored inner hair
hair_over_shoulder,发覆盖肩
ejaculation,专有标签: ejaculation
scenery,专有标签: scenery
skin_fang,专有标签: skin fang
puffy_long_sleeves,专有标签: puffy long sleeves
arms_behind_head,手臂后方头
veil,专有标签: veil
nature,专有标签: nature
breath,专有标签: breath
male_pubic_hair,专有标签: male pubic hair
red_jacket,红色夹克
genderswap,专有标签: genderswap
mole_under_mouth,专有标签: mole under mouth
red_nails,专有标签: red nails
lace_trim,专有标签: lace trim
covering_privates,专有标签: covering privates
side_braid,专有标签: side braid
third_eye,专有标签: third eye
scar_on_face,专有标签: scar on face
waist_apron,专有标签: waist apron
smartphone,智能手机
microphone,麦克风
facial,专有标签: facial
skirt_set,专有标签: skirt set
christmas,专有标签: christmas
web_address,专有标签: web address
large_pectorals,专有标签: large pectorals
pink_flower,粉色花
pelvic_curtain,专有标签: pelvic curtain
light_blush,微微脸红
...,省略号
strapless_dress,专有标签: strapless dress
anger_vein,专有标签: anger vein
baseball_cap,棒球帽
beard,专有标签: beard
string_bikini,专有标签: string bikini
interlocked_fingers,专有标签: interlocked fingers
striped_panties,专有标签: striped panties
light_particles,专有标签: light particles
blue_headwear,专有标签: blue headwear
claws,专有标签: claws
breasts_apart,专有标签: breasts apart
bridal_gauntlets,专有标签: bridal gauntlets
cloak,专有标签: cloak
toenails,专有标签: toenails
peaked_cap,专有标签: peaked cap
index_finger_raised,专有标签: index finger raised
highleg_leotard,专有标签: highleg leotard
red_neckerchief,专有标签: red neckerchief
glowing_eyes,专有标签: glowing eyes
white_pupils,专有标签: white pupils
short_hair_with_long_locks,专有标签: short hair with long locks
purple_dress,紫色连衣裙
side-tie_panties,专有标签: side-tie panties
semi-rimless_eyewear,专有标签: semi-rimless eyewear
low_ponytail,专有标签: low ponytail
white_pantyhose,白丝
convenient_censoring,专有标签: convenient censoring
jingle_bell,专有标签: jingle bell
motor_vehicle,专有标签: motor vehicle
hand_fan,专有标签: hand fan
two-tone_background,专有标签: two-tone background
grey_skirt,灰色裙
front-tie_top,专有标签: front-tie top
bow_panties,蝴蝶结内裤
mecha,专有标签: mecha
buckle,专有标签: buckle
hair_flaps,专有标签: hair flaps
twin_drills,专有标签: twin drills
clothes_writing,专有标签: clothes writing
areola_slip,专有标签: areola slip
carrying,专有标签: carrying
pom_pom_(clothes),专有标签: pom pom (clothes)
clothing_aside,专有标签: clothing aside
androgynous,专有标签: androgynous
pink_nails,专有标签: pink nails
micro_bikini,专有标签: micro bikini
angry,生气
close-up,特写
yellow_bow,黄色蝴蝶结
maid_apron,专有标签: maid apron
forehead,专有标签: forehead
sleeves_past_fingers,专有标签: sleeves past fingers
hood_up,专有标签: hood up
wolf_tail,狼尾
meme,专有标签: meme
cum_on_breasts,专有标签: cum on breasts
corset,专有标签: corset
neck_bell,专有标签: neck bell
blue_nails,专有标签: blue nails
skin_tight,专有标签: skin tight
hand_on_own_face,手在自己脸
paizuri,专有标签: paizuri
rifle,步枪
o-ring,专有标签: o-ring
eyeshadow,专有标签: eyeshadow
tentacles,专有标签: tentacles
patreon_username,专有标签: patreon username
hakama_skirt,专有标签: hakama skirt
black_belt,专有标签: black belt
lace,专有标签: lace
holding_phone,手持手机
french_braid,专有标签: french braid
no_headwear,专有标签: no headwear
tokin_hat,专有标签: tokin hat
spoken_heart,专有标签: spoken heart
:<,专有标签: :<
white_sleeves,白色袖
cropped_jacket,专有标签: cropped jacket
eye_contact,专有标签: eye contact
curvy,专有标签: curvy
cropped_legs,专有标签: cropped legs
faceless,专有标签: faceless
licking,专有标签: licking
bikini_top_only,专有标签: bikini top only
brown_gloves,棕色手套
crossed_bangs,专有标签: crossed bangs
plate,盘子
restrained,专有标签: restrained
snow,雪
outside_border,专有标签: outside border
red_gloves,红色手套
mary_janes,专有标签: mary janes
full_moon,专有标签: full moon
spikes,专有标签: spikes
tearing_up,专有标签: tearing up
colored_sclera,专有标签: colored sclera
black_wings,专有标签: black wings
science_fiction,专有标签: science fiction
blue_bikini,蓝色比基尼
holding_book,手持书
:p,专有标签: :p
side_slit,专有标签: side slit
gift,专有标签: gift
desk,专有标签: desk
black_coat,专有标签: black coat
camisole,专有标签: camisole
alternate_breast_size,专有标签: alternate breast size
finger_to_mouth,专有标签: finger to mouth
ball,专有标签: ball
strap_slip,专有标签: strap slip
armlet,专有标签: armlet
green_bow,绿色蝴蝶结
single_horn,专有标签: single horn
lens_flare,专有标签: lens flare
cowgirl_position,专有标签: cowgirl position
floating,专有标签: floating
dragon_horns,专有标签: dragon horns
drinking_glass,专有标签: drinking glass
hair_scrunchie,专有标签: hair scrunchie
arm_at_side,手臂向侧边
sleeves_rolled_up,专有标签: sleeves rolled up
seiza,正坐
genderswap_(mtf),专有标签: genderswap (mtf)
gold_trim,专有标签: gold trim
puffy_nipples,专有标签: puffy nipples
blue_necktie,专有标签: blue necktie
santa_hat,专有标签: santa hat
clenched_hands,专有标签: clenched hands
after_sex,专有标签: after sex
black_sailor_collar,专有标签: black sailor collar
wide_hips,专有标签: wide hips
pink_skirt,粉色裙
single_glove,专有标签: single glove
pink_ribbon,粉色缎带
veins,专有标签: veins
smoke,专有标签: smoke
tareme,专有标签: tareme
white_sailor_collar,专有标签: white sailor collar
handgun,手枪
heavy_breathing,专有标签: heavy breathing
between_legs,之间腿
half_updo,专有标签: half updo
zipper,专有标签: zipper
knee_up,专有标签: knee up
brown_background,专有标签: brown background
starry_sky,专有标签: starry sky
masturbation,专有标签: masturbation
blue_flower,蓝色花
handjob,专有标签: handjob
tsurime,专有标签: tsurime
open_coat,专有标签: open coat
freckles,专有标签: freckles
blue_shorts,蓝色短裤
demon_wings,专有标签: demon wings
wading,专有标签: wading
pencil_skirt,专有标签: pencil skirt
happy_birthday,专有标签: happy birthday
fish,专有标签: fish
green_background,专有标签: green background
pink_shirt,粉色衬衫
alcohol,专有标签: alcohol
clothed_sex,专有标签: clothed sex
pendant,专有标签: pendant
ribbed_sweater,专有标签: ribbed sweater
topless_male,专有标签: topless male
dual_persona,专有标签: dual persona
clothed_female_nude_male,专有标签: clothed female nude male
high_heel_boots,专有标签: high heel boots
track_jacket,专有标签: track jacket
single_earring,专有标签: single earring
outline,专有标签: outline
frilled_apron,专有标签: frilled apron
spot_color,专有标签: spot color
partially_submerged,专有标签: partially submerged
tray,专有标签: tray
low-tied_long_hair,专有标签: low-tied long hair
asymmetrical_legwear,专有标签: asymmetrical legwear
swim_ring,专有标签: swim ring
sweater_vest,专有标签: sweater vest
purple_background,专有标签: purple background
cross-laced_footwear,专有标签: cross-laced footwear
arm_behind_back,手臂后方背
reflection,专有标签: reflection
forest,森林
!,感叹号
upskirt,专有标签: upskirt
legs_up,腿向上
headset,专有标签: headset
black_vest,专有标签: black vest
frilled_bikini,专有标签: frilled bikini
walking,行走
cake,蛋糕
white_skin,专有标签: white skin
hair_rings,专有标签: hair rings
beads,专有标签: beads
pocket,专有标签: pocket
personification,专有标签: personification
one-hour_drawing_challenge,专有标签: one-hour drawing challenge
mature_male,专有标签: mature male
backlighting,专有标签: backlighting
halloween,专有标签: halloween
vertical-striped_clothes,专有标签: vertical-striped clothes
bulge,专有标签: bulge
dress_lift,专有标签: dress lift
green_dress,绿色连衣裙
unworn_headwear,专有标签: unworn headwear
frilled_shirt_collar,专有标签: frilled shirt collar
legs_apart,专有标签: legs apart
long_fingernails,专有标签: long fingernails
toned,专有标签: toned
mole_on_breast,专有标签: mole on breast
broom,专有标签: broom
black-framed_eyewear,专有标签: black-framed eyewear
arm_behind_head,手臂后方头
brown_pantyhose,专有标签: brown pantyhose
thong,丁字裤
condom,专有标签: condom
red_bikini,红色比基尼
short_ponytail,专有标签: short ponytail
out_of_frame,专有标签: out of frame
purple_bow,紫色蝴蝶结
long_skirt,长裙
high-waist_skirt,专有标签: high-waist skirt
round_eyewear,专有标签: round eyewear
crying_with_eyes_open,专有标签: crying with eyes open
rain,雨
blue_footwear,蓝色鞋
crossdressing,专有标签: crossdressing
angel_wings,专有标签: angel wings
white_bra,白色胸罩
cuffs,专有标签: cuffs
flying,专有标签: flying
gym_uniform,专有标签: gym uniform
cumdrip,专有标签: cumdrip
purple_skirt,紫色裙
yellow_shirt,黄色衬衫
cropped_torso,专有标签: cropped torso
one_eye_covered,专有标签: one eye covered
goggles_on_head,专有标签: goggles on head
bubble,专有标签: bubble
black_bowtie,专有标签: black bowtie
hand_in_own_hair,手在自己发
braided_ponytail,专有标签: braided ponytail
age_difference,专有标签: age difference
red-framed_eyewear,专有标签: red-framed eyewear
fingering,专有标签: fingering
epaulettes,专有标签: epaulettes
curly_hair,专有标签: curly hair
empty_eyes,专有标签: empty eyes
ribbon-trimmed_sleeves,专有标签: ribbon-trimmed sleeves
dot_nose,专有标签: dot nose
santa_costume,专有标签: santa costume
futanari,专有标签: futanari
teacup,专有标签: teacup
kemonomimi_mode,专有标签: kemonomimi mode
high_collar,专有标签: high collar
doujin_cover,专有标签: doujin cover
raised_eyebrows,专有标签: raised eyebrows
brown_jacket,棕色夹克
tanlines,专有标签: tanlines
rape,专有标签: rape
6+boys,6个以上男孩
denim_shorts,专有标签: denim shorts
spoken_ellipsis,专有标签: spoken ellipsis
brown_skirt,棕色裙
bowl,专有标签: bowl
hat_ornament,专有标签: hat ornament
dragon_girl,专有标签: dragon girl
animal_hands,兽手
hand_on_another's_head,专有标签: hand on another's head
panties_under_pantyhose,专有标签: panties under pantyhose
innertube,专有标签: innertube
sideburns,专有标签: sideburns
buruma,专有标签: buruma
4boys,4个男孩
@_@,专有标签: @ @
contrapposto,专有标签: contrapposto
white_pants,白色裤
school_bag,专有标签: school bag
jitome,专有标签: jitome
nontraditional_miko,专有标签: nontraditional miko
pouch,专有标签: pouch
thighband_pantyhose,专有标签: thighband pantyhose
:q,专有标签: :q
emphasis_lines,专有标签: emphasis lines
doggystyle,专有标签: doggystyle
black_serafuku,专有标签: black serafuku
faceless_male,专有标签: faceless male
cigarette,专有标签: cigarette
dual_wielding,专有标签: dual wielding
breast_hold,专有标签: breast hold
red_scarf,专有标签: red scarf
fur_collar,专有标签: fur collar
green_jacket,绿色夹克
abyssal_ship,专有标签: abyssal ship
sailor_dress,专有标签: sailor dress
asymmetrical_hair,专有标签: asymmetrical hair
knees_together_feet_apart,专有标签: knees together feet apart
robe,专有标签: robe
spread_pussy,专有标签: spread pussy
garter_belt,专有标签: garter belt
white_shorts,白色短裤
machinery,专有标签: machinery
hand_in_pocket,专有标签: hand in pocket
pauldrons,专有标签: pauldrons
naughty_face,专有标签: naughty face
competition_swimsuit,专有标签: competition swimsuit
dog_tail,狗尾
cum_in_mouth,专有标签: cum in mouth
legs_together,专有标签: legs together
mini_person,专有标签: mini person
yellow_ribbon,黄色缎带
lolita_fashion,专有标签: lolita fashion
head_rest,专有标签: head rest
running,奔跑
hands_on_own_hips,专有标签: hands on own hips
top_hat,专有标签: top hat
sun_hat,太阳帽
plump,专有标签: plump
furry_female,专有标签: furry female
white_hairband,专有标签: white hairband
asymmetrical_bangs,专有标签: asymmetrical bangs
ass_grab,专有标签: ass grab
threesome,专有标签: threesome
watch,专有标签: watch
thought_bubble,专有标签: thought bubble
fake_tail,专有标签: fake tail
blood_on_face,专有标签: blood on face
sunset,日落
blue_one-piece_swimsuit,专有标签: blue one-piece swimsuit
twins,专有标签: twins
furrowed_brow,专有标签: furrowed brow
turtleneck_sweater,专有标签: turtleneck sweater
monster,魔物
dog,狗
star_hair_ornament,专有标签: star hair ornament
white_kimono,专有标签: white kimono
sports_bra,专有标签: sports bra
under-rim_eyewear,专有标签: under-rim eyewear
drinking_straw,专有标签: drinking straw
white_wings,专有标签: white wings
grey_jacket,灰色夹克
aged_up,专有标签: aged up
new_year,专有标签: new year
poke_ball,专有标签: poke ball
blurry_foreground,专有标签: blurry foreground
wide-eyed,专有标签: wide-eyed
skull,专有标签: skull
shield,专有标签: shield
shiny_clothes,专有标签: shiny clothes
mature_female,专有标签: mature female
female_masturbation,专有标签: female masturbation
white_coat,专有标签: white coat
missionary,专有标签: missionary
striped_shirt,专有标签: striped shirt
breasts_squeezed_together,专有标签: breasts squeezed together
impossible_clothes,专有标签: impossible clothes
jeans,专有标签: jeans
